Topology,Source framework,Precision,4th GEN Xeon Scalable Procesor,3rd GEN Xeon Scalable Processor,Fles Series discrete GP,Arc Series Discrete GPU
aclnet,onnx,BF16,accurate,,,
aclnet,onnx,FP16,accurate,accurate,accurate,accurate
aclnet,onnx,FP32,accurate,accurate,accurate,accurate
aclnet-int8 ,onnx,FP16-INT8,accurate,accurate,accurate,accurate
aclnet-int8,onnx,FP32,completes,,,
action-recognition-0001 ,null,BF16,accurate,,,
action-recognition-0001,null,BF16,accurate,accurate,accurate,accurate
action-recognition-0001,null,FP16-INT8,accurate,accurate,accurate,accurate
action-recognition-0001,null,FP32 ,accurate,accurate,accurate,accurate
age-gender-recognition-retail-0013,null,BF16,accurate,,,
age-gender-recognition-retail-0013,null,BF16,accurate,accurate,accurate,accurate
age-gender-recognition-retail-0013,null,FP16-INT8,accurate,accurate,completes,completes
age-gender-recognition-retail-0013,null,FP32 ,completes,completes,completes,completes